,Country,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.ELC.TIME,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.PAYM,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN
129,Madagascar,35.0,87.0,540.0,119.0,45.68,7.0,164.0,0.0,0.0,3.0,450.0,3.0,3.0,871.0,100.0,6.0,43.7,13.0,9.0,183.0,23.0,38.1,185.0,15.0,20.5298013245033,29429.0,40075.0,16189.0,49.6,45.3,53.6,19.7,35.3,81.6,51.5,2900.0,60.0,1.66981789789433,12.0,8.7,18.0,353.0,32.3,35.9,39.3
130,Central African Republic,14.0,3.0,24.0,13.0,36.26,7.0,185.0,0.0,0.0,3.3,98.0,4.8,6.0,660.0,75.0,5.0,204.0,22.0,10.0,483.0,56.0,73.3,200.0,15.0,,14981.0,21029.0,6993.0,130.1,123.2,136.6,42.6,54.4,89.6,68.5,1400.0,27.0,3.6683426807707797,21.8,7.2,43.6,882.0,84.0,91.5,98.5
131,Chad,13.0,1.0,6.0,14.0,38.22,7.0,183.0,0.0,0.0,2.4,67.0,4.0,6.0,743.0,44.0,6.0,150.4,60.0,9.0,732.0,54.0,63.5,221.0,13.0,14.8936170212766,51335.0,82728.0,23789.0,138.7,131.4,145.6,39.3,44.8,71.8,50.8,5400.0,18.0,5.518801588691349,12.1,6.5,31.4,856.0,78.0,85.0,91.8
132,Guinea,19.0,75.0,35.0,25.0,45.54,7.0,165.0,0.0,0.0,0.0,69.0,3.8,6.0,311.0,44.0,6.0,79.0,8.0,6.0,440.0,57.0,68.3,173.0,27.0,21.9298245614035,27757.0,42073.0,14288.0,93.7,88.2,99.0,31.3,67.4,92.7,76.8,3100.0,29.0,3.4621126580278503,20.1,11.8,34.1,679.0,55.3,61.0,66.3
133,Burkina Faso,11.0,4.0,3.0,9.0,50.81,7.0,143.0,0.0,0.0,0.3,158.0,4.0,6.0,446.0,67.0,4.0,43.5,13.0,3.0,270.0,45.0,41.3,129.0,12.0,13.333333333333302,41810.0,60477.0,18346.0,88.6,83.4,93.7,26.7,75.8,97.5,82.3,2700.0,48.0,2.0701273348727303,19.7,6.7,50.4,371.0,55.6,60.9,66.0
134,Afghanistan,17.0,5.0,5.0,10.0,40.58,1.0,177.0,0.0,0.0,0.5,114.0,2.0,9.0,1642.0,250.0,9.0,19.0,7.0,3.0,275.0,20.0,36.3,353.0,11.0,27.710843373494,67399.0,94261.0,36242.0,91.1,87.4,94.6,35.5,47.0,78.2,55.3,4300.0,52.0,1.92613064033961,31.9,27.0,45.1,396.0,62.1,66.3,70.3
135,Rwanda,16.0,9.0,8.0,23.0,68.12,7.0,62.0,8.0,18.8,5.4,34.0,2.5,11.0,230.0,32.0,3.0,55.0,5.5,7.0,109.0,25.0,33.0,77.0,11.0,63.75,10445.0,14207.0,6299.0,41.7,37.8,45.4,18.7,71.9,86.6,76.1,1100.0,85.0,1.17884968586362,61.6,62.9,58.5,290.0,27.8,31.1,34.2
136,Benin,10.0,38.0,17.0,12.0,47.15,7.0,158.0,0.0,0.0,0.6,90.0,4.0,6.0,750.0,120.0,4.0,45.3,12.0,7.0,270.0,57.0,63.3,88.0,13.0,7.228915662650597,24069.0,37092.0,11955.0,99.5,94.6,104.0,31.8,72.1,85.2,77.9,1600.0,51.0,1.9740659316900304,19.7,7.3,35.6,405.0,59.2,64.2,68.9
137,Burundi,13.0,17.0,8.0,12.0,48.82,8.0,152.0,0.0,0.0,4.4,158.0,5.0,2.0,832.0,23.0,5.0,13.4,4.0,3.0,274.0,25.0,40.3,99.0,14.0,30.4761904761905,24956.0,36970.0,13236.0,81.7,75.6,87.5,28.6,73.8,91.1,75.9,3500.0,23.0,4.27294827484083,48.0,48.6,43.8,712.0,48.0,54.1,60.0
138,Togo,11.0,35.0,12.0,11.0,49.03,7.0,150.0,0.0,0.0,0.5,51.0,3.0,6.0,488.0,288.0,5.0,77.8,10.0,6.0,270.0,50.0,48.5,165.0,12.0,17.5824175824176,13077.0,19512.0,6694.0,78.4,72.1,84.4,26.7,44.2,91.4,63.1,940.0,58.0,1.71769884969413,11.6,2.9,24.7,368.0,46.7,52.3,57.6
