,Country,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
107,Ethiopia,0.19072999999999998,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876
108,Sierra Leone,0.33024000000000003,0.9557100000000001,0.0,0.4084,0.08786000000000001,0.21488000000000002,2.51009
109,Mauritania,0.45407,0.86908,0.35874,0.24231999999999998,0.17461,0.21899999999999997,2.11773
110,Kenya,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555
111,Djibouti,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125
112,Armenia,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.75873
113,Botswana,0.99355,1.10464,0.047760000000000004,0.49495,0.12474,0.10461,1.46181
114,Myanmar,0.27108000000000004,0.70905,0.48246000000000006,0.44017,0.19034,0.79588,1.41805
115,Georgia,0.7419,0.38561999999999996,0.72926,0.40576999999999996,0.38331,0.055470000000000005,1.59541
116,Malawi,0.016040000000000002,0.41134,0.22562,0.43054,0.06977,0.33128,2.8079099999999997
117,Sri Lanka,0.83524,1.01905,0.70806,0.5372600000000001,0.09179,0.40828000000000003,0.67108
118,Cameroon,0.4225,0.8876700000000001,0.23401999999999998,0.49309,0.05786,0.20618000000000003,1.95071
119,Bulgaria,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991
120,Angola,0.75778,0.8604,0.16683,0.10384000000000002,0.07122,0.12344000000000001,1.9493900000000002
121,Mali,0.26074,1.03526,0.20583,0.38856999999999997,0.12352,0.18798,1.79293
122,Comoros,0.23906,0.79273,0.36315,0.22916999999999998,0.19899999999999998,0.17440999999999998,1.95812
123,Uganda,0.21101999999999999,1.13299,0.33860999999999997,0.45726999999999995,0.07267,0.29066,1.42766
124,Senegal,0.36498,0.97619,0.4354,0.36772,0.10712999999999999,0.20843000000000003,1.44395
125,Gabon,1.06024,0.90528,0.43372,0.31914000000000003,0.11091,0.06822,0.99895
126,Niger,0.0694,0.77265,0.29707,0.47691999999999996,0.15639,0.19387000000000001,1.87877
127,Cambodia,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195
128,Tanzania,0.2852,1.00268,0.38215,0.32878,0.05747000000000001,0.34376999999999996,1.38079
129,Madagascar,0.20824,0.66801,0.46721,0.19184,0.08123999999999999,0.21333000000000002,1.851
130,Central African Republic,0.0785,0.0,0.06699,0.48878999999999995,0.08288999999999999,0.23835,2.7223
131,Chad,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.9429599999999998
132,Guinea,0.17417,0.46475,0.24009,0.37725,0.12139000000000001,0.28657,1.9917200000000002
133,Burkina Faso,0.25811999999999996,0.85188,0.27125,0.39493,0.12832000000000002,0.21746999999999997,1.46494
134,Afghanistan,0.31982,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,1.9521
135,Rwanda,0.22208000000000003,0.7737,0.42863999999999997,0.59201,0.55191,0.22628,0.67042
136,Benin,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.6332799999999998
137,Burundi,0.0153,0.41586999999999996,0.22396,0.1185,0.10062,0.19727,1.83302
138,Togo,0.20868,0.13995,0.28443,0.36453,0.10730999999999999,0.16680999999999999,1.56726
