,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,DT.AMT.BLAT.CD,DT.AMT.DLXF.CD,DT.AMT.DPNG.CD,DT.AMT.MLAT.CD,DT.AMT.OFFT.CD,DT.AMT.PBND.CD,DT.AMT.PCBK.CD,DT.AMT.PROP.CD,DT.AMT.PRVT.CD,DT.DIS.BLAT.CD,DT.DIS.DLXF.CD,DT.DIS.MLAT.CD,DT.DIS.OFFT.CD,DT.DIS.PCBK.CD,DT.DIS.PROP.CD,DT.DIS.PRVT.CD,DT.INT.BLAT.CD,DT.INT.DLXF.CD,DT.INT.DPNG.CD,DT.INT.MLAT.CD,DT.INT.OFFT.CD,DT.INT.PBND.CD,DT.INT.PCBK.CD,DT.INT.PROP.CD,DT.INT.PRVT.CD,EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,FB.AST.NPER.ZS,FB.BNK.CAPA.ZS,IC.BUS.DFRN.XQ,IC.BUS.DISC.XQ,IC.BUS.EASE.XQ,IC.CRD.INFO.XQ,IC.CRD.PRVT.ZS,IC.CRD.PUBL.ZS,IC.CUS.DURS.EX,IC.ELC.DURS,IC.ELC.OUTG,IC.ELC.TIME,IC.FRM.BNKS.ZS,IC.FRM.CMPU.ZS,IC.FRM.CORR.ZS,IC.FRM.CRIM.ZS,IC.FRM.DURS,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,IC.FRM.FREG.ZS,IC.FRM.ISOC.ZS,IC.FRM.OUTG.ZS,IC.FRM.TRNG.ZS,IC.GOV.DURS.ZS,IC.ISV.DURS,IC.LGL.CRED.XQ,IC.LGL.DURS,IC.PRP.DURS,IC.PRP.PROC,IC.REG.COST.PC.ZS,IC.REG.DURS,IC.REG.PROC,IC.TAX.DURS,IC.TAX.GIFT.ZS,IC.TAX.LABR.CP.ZS,IC.TAX.METG,IC.TAX.OTHR.CP.ZS,IC.TAX.PAYM,IC.TAX.PRFT.CP.ZS,IC.TAX.TOTL.CP.ZS,IC.WRH.DURS,IC.WRH.PROC,IQ.SCI.MTHD,IQ.SCI.OVRL,IQ.SCI.PRDC,IQ.SCI.SRCE,SG.GEN.PARL.ZS,SH.DTH.IMRT,SH.DTH.MORT,SH.DTH.NMRT,SH.DYN.MORT,SH.DYN.MORT.FE,SH.DYN.MORT.MA,SH.DYN.NMRT,SH.H2O.SAFE.RU.ZS,SH.H2O.SAFE.UR.ZS,SH.H2O.SAFE.ZS,SH.MMR.DTHS,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.STA.ACSN,SH.STA.ACSN.RU,SH.STA.ACSN.UR,SH.STA.MMRT,SI.POV.NAGP,SI.POV.NAHC,SI.POV.RUGP,SI.POV.RUHC,SI.POV.URGP,SI.POV.URHC,SP.DYN.IMRT.FE.IN,SP.DYN.IMRT.IN,SP.DYN.IMRT.MA.IN,SP.HOU.FEMA.ZS
30,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558000000000002,0.2324,2.3214200000000003,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,40.0,22.0,10.0,,,61.21,3.0,92.0,8.0,100.0,84.1,,,,48.0,,,,,,,,,,,,,1.8,4.0,725.0,66.0,8.0,22.0,6.5,5.0,277.0,,15.6,,2.6,31.0,23.6,41.8,251.0,21.0,80.0,88.8888666666667,86.6666,100.0,16.161616161616198,419.0,487.0,246.0,10.1,9.1,11.1,5.1,93.9,100.0,99.7,7.0,3300.0,0.0302409612742895,96.4,92.6,96.6,15.0,,,,,,,7.8,8.7,9.5,
31,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737,283529000.0,8363187000.0,5609621000.0,1394268000.0,1677797000.0,631555000.0,442042000.0,2172000.0,1075769000.0,184940000.0,1675558000.0,552197000.0,737137000.0,198720000.0,0.0,938421000.0,160278000.0,3959705000.0,1460695000.0,227875000.0,388153000.0,1999773000.0,110924000.0,160000.0,2110857000.0,119.0,61.0,245.0,56.0,3.0556827635755197,14.072459096691501,70.43,9.0,54.0,7.0,88.7,0.0,,,,102.0,,,,,,,,,,,,,1.7,12.0,1288.0,16.0,6.0,7.5,11.0,8.0,239.0,,18.6,,28.6,11.0,22.5,69.7,73.0,10.0,90.0,84.44443333333331,83.3333,80.0,19.8795180722892,10183.0,11934.0,6356.0,15.9,14.0,17.6,8.5,73.8,96.8,91.4,480.0,800.0,0.125686759130017,81.1,67.9,85.2,64.0,,,,,,,12.0,13.6,15.2,
32,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.031869999999999996,0.5763,2.31945,208995000.0,2569293000.0,0.0,37907000.0,246902000.0,723542000.0,1588621000.0,10228000.0,2322391000.0,22117000.0,35028000.0,12911000.0,35028000.0,0.0,0.0,0.0,45342000.0,277532000.0,0.0,1799000.0,47141000.0,229254000.0,753000.0,384000.0,230391000.0,51.0,99.0,150.0,54.0,2.49039246464381,9.52873284966467,71.42,10.0,49.0,6.0,60.2,0.0,,,,37.0,,,,,,,,,,,,,2.7,3.0,440.0,3.0,3.0,6.4,27.5,6.0,264.0,,5.4,,2.6,22.0,19.5,27.5,103.0,17.0,90.0,85.55556666666669,86.6667,80.0,6.09137055837564,7778.0,9173.0,4958.0,12.3,10.7,13.8,6.7,98.0,97.6,97.8,140.0,3600.0,0.0281182142560191,93.0,96.1,89.9,20.0,,,,,,,9.1,10.5,11.9,
33,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2.43872,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,31.0,3.0,9.0,1.25982437214215,12.289595521329998,63.17,8.0,82.0,8.0,47.4,0.0,,,,61.0,,,,,,,,,,,,,,2.0,575.0,6.0,3.0,4.1,19.0,12.0,64.0,,12.8,,0.0,3.0,2.2,15.0,106.0,13.0,,,,,19.8675496688742,7708.0,9002.0,4866.0,14.5,13.6,15.5,7.9,97.0,97.0,97.0,72.0,3100.0,0.0325686193213649,100.0,100.0,100.0,12.0,,,,,,,11.6,12.5,13.4,
34,Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951000000000003,0.06398,0.18227000000000002,2.12367,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,77.0,219.0,16.0,6.960563227051081,7.37300868612795,74.86,5.0,33.0,7.0,14.1,49.8,,,,107.0,,,,,,,,,,,,,1.5,5.0,510.0,12.5,5.0,5.2,14.0,7.0,158.0,,35.9,,0.8,9.0,13.3,50.0,205.0,13.0,,,,,41.1428571428571,1299.0,1566.0,1039.0,4.1,3.8,4.4,2.8,100.0,100.0,100.0,21.0,14700.0,0.00681134399665327,99.9,100.0,99.8,5.0,,,,,,,3.2,3.5,3.8,
35,Malta,Western Europe,37,6.3020000000000005,0.04206,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,22.0,4.0,2.0,8.60582918565769,7.10636373199715,63.7,3.0,80.0,0.0,0.0,0.0,,,,121.0,,,,,,,,,,,,,3.0,2.0,505.0,15.0,7.0,10.7,28.0,10.0,139.0,,10.7,,0.5,7.0,30.1,41.3,167.0,15.0,,,,,12.857142857142902,19.0,24.0,16.0,6.4,5.9,6.9,4.4,100.0,100.0,100.0,0.0,8300.0,0.0120735701846286,100.0,100.0,100.0,9.0,,,,,,,4.7,5.1,5.5,
36,Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,1.8763400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,0.0,5.0,,,60.17,4.0,101.0,6.0,34.2,15.3,,,,64.0,,,,,,,,,,,,,4.2,2.0,566.0,49.0,8.0,2.3,31.0,12.0,98.0,,13.0,,0.0,12.0,0.0,13.0,216.0,22.0,,,,,1.53846153846154,507.0,598.0,222.0,8.6,7.9,9.2,3.2,99.0,99.0,99.0,3.0,10300.0,0.00969638391141188,100.0,100.0,100.0,4.0,,,,,,,6.8,7.3,7.8,
37,Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,29.0,26.0,9.0,,,47.69,1.0,156.0,0.0,0.0,0.0,,,,113.0,,,,,,,,,,,,,5.0,2.0,1715.0,106.0,6.0,100.7,84.0,13.0,199.0,,0.0,,0.0,30.0,27.9,27.9,223.0,10.0,40.0,62.2222666666667,76.6668,70.0,,186.0,209.0,112.0,21.3,18.7,23.8,11.5,88.4,98.1,94.8,15.0,270.0,0.37163675578962696,79.2,61.4,88.4,155.0,,,,,,,16.6,19.0,21.3,
38,Trinidad and Tobago,Latin America and Caribbean,41,6.167999999999999,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,35.0,2.0,2.0,,,62.58,4.0,88.0,6.0,69.6,0.0,,,,61.0,,,,,,,,,,,,,2.5,7.0,1340.0,77.0,9.0,0.7,11.5,7.0,210.0,,8.5,,1.8,39.0,21.9,32.2,253.0,16.0,50.0,56.6666666666667,50.0,70.0,28.571428571428598,344.0,387.0,249.0,20.4,18.2,22.4,13.2,95.1,95.1,95.1,12.0,860.0,0.115839419309269,91.5,91.5,91.5,63.0,,,,,,,16.2,18.2,20.0,
39,El Salvador,Latin America and Caribbean,42,6.13,0.056179999999999994,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035,31786000.0,233868000.0,0.0,201082000.0,232868000.0,190000.0,12000.0,798000.0,1000000.0,18114000.0,281196000.0,162840000.0,180954000.0,99200000.0,1042000.0,100242000.0,10402000.0,369011000.0,0.0,60439000.0,70841000.0,255815000.0,41173000.0,1182000.0,298170000.0,6.0,15.0,29.0,7.0,2.4024796863577103,13.7225835255689,62.76,3.0,86.0,7.0,34.4,27.6,,,,61.0,,,,,,,,,,,,,3.5,9.0,786.0,31.0,5.0,42.7,16.5,8.0,312.0,,17.2,,1.4,53.0,20.1,38.7,108.0,25.0,80.0,91.1111333333333,93.3334,100.0,32.1428571428571,1509.0,1763.0,868.0,16.8,14.9,18.6,8.3,86.5,97.5,93.8,57.0,890.0,0.11175312001765801,75.0,60.0,82.4,54.0,,,,,,,12.8,14.4,16.0,
40,Guatemala,Latin America and Caribbean,43,6.122999999999999,0.052239999999999995,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,13040000.0,258351000.0,0.0,245311000.0,258351000.0,0.0,0.0,0.0,0.0,80415000.0,233694000.0,140877000.0,221292000.0,12402000.0,0.0,12402000.0,5775000.0,189019000.0,73984000.0,81554000.0,87329000.0,27568000.0,138000.0,0.0,27706000.0,14.0,34.0,98.0,17.0,1.43988152073889,7.02998047543458,63.49,3.0,81.0,7.0,8.8,19.0,,,,39.0,,,,,,,,,,,,,3.0,9.0,1402.0,24.0,6.0,25.0,18.5,6.0,256.0,,14.3,,0.7,8.0,22.5,37.5,158.0,11.0,40.0,72.2222333333333,96.6667,80.0,13.2911392405063,10818.0,12858.0,5946.0,29.1,26.0,32.1,13.4,86.8,98.4,92.8,380.0,330.0,0.30632359364850703,63.9,49.3,77.5,88.0,,,,,,,21.5,24.3,27.0,
41,Uzbekistan,Central and Eastern Europe,44,6.002999999999999,0.04361,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.2374099999999997,264154000.0,427193000.0,0.0,108218000.0,372372000.0,0.0,41093000.0,13728000.0,54821000.0,338428000.0,875279000.0,459595000.0,798023000.0,77256000.0,0.0,77256000.0,35356000.0,77165000.0,0.0,36679000.0,72035000.0,0.0,5006000.0,124000.0,5130000.0,20.0,7.0,17.0,9.0,0.400981638108594,11.2990758624274,62.6,7.0,87.0,7.0,19.4,0.0,,,,89.0,,,,,,,,,,,,,2.0,6.0,225.0,46.0,9.0,3.4,6.5,5.0,192.5,,28.2,,1.5,33.0,11.4,41.1,176.0,23.0,50.0,51.1111333333333,73.3334,30.0,16.0,22771.0,26205.0,13652.0,39.1,33.9,44.1,20.4,,98.5,,240.0,1000.0,0.0994769853067875,100.0,100.0,100.0,36.0,,,,,,,29.2,33.9,38.4,
42,Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,74.0,24.0,27.0,1.64222104873677,5.82015282953083,74.72,7.0,34.0,6.0,100.0,0.0,,,,97.7,,,,,,,,,,,,,0.6,4.0,360.0,13.0,6.0,7.5,10.2,8.0,330.0,,,,,14.0,,51.3,197.0,12.0,,,,,9.47368421052632,2093.0,2834.0,941.0,2.7,2.5,2.9,0.9,100.0,100.0,100.0,56.0,13400.0,0.00748458839982738,100.0,100.0,100.0,5.0,,,,,,,1.9,2.0,2.1,
43,Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002,593497000.0,1709670000.0,0.0,420235000.0,1013732000.0,650000000.0,24114000.0,21824000.0,695938000.0,987005000.0,2047338000.0,545035000.0,1532040000.0,499337000.0,15961000.0,515298000.0,360321000.0,613570000.0,0.0,94868000.0,455189000.0,71410000.0,21382000.0,65589000.0,158381000.0,98.0,53.0,1848.0,46.0,,,57.47,2.0,117.0,8.0,52.9,0.0,,,,74.0,,,,,,,,,,,,,5.3,1.0,588.0,38.0,7.0,22.0,50.5,12.0,654.0,,13.7,,3.2,8.0,16.1,33.0,114.0,15.0,80.0,72.2222666666667,86.6668,50.0,41.605839416058394,6027.0,7079.0,3530.0,21.6,19.0,24.0,10.8,75.5,93.4,86.9,210.0,580.0,0.17197406815503002,84.7,80.7,87.0,64.0,,,,,,,16.0,18.4,20.7,
44,Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,0.0,3.0,,,66.81,8.0,65.0,7.0,29.0,0.0,,,,85.0,,,,,,,,,,,,,2.5,1.0,635.0,31.0,2.0,0.8,9.0,7.0,60.0,,13.5,,0.0,13.0,0.0,13.5,145.0,8.0,,,,,7.5,115.0,135.0,24.0,6.2,5.9,6.4,1.1,100.0,100.0,100.0,3.0,3000.0,0.0336879110838102,99.2,99.2,99.2,15.0,,,,,,,5.1,5.3,5.4,
45,Italy,Western Europe,50,5.9479999999999995,0.03914,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,51.0,74.0,7.0,,,72.07,7.0,45.0,7.0,100.0,27.3,,,,124.0,,,,,,,,,,,,,1.8,2.0,1120.0,16.0,4.0,13.8,5.5,5.0,269.0,,43.4,,1.9,14.0,19.5,64.8,227.5,10.0,,,,,30.952380952381002,1378.0,1693.0,998.0,3.5,3.2,3.8,2.1,100.0,100.0,100.0,18.0,19700.0,0.00506532246229972,99.5,99.6,99.5,4.0,,,,,,,2.7,2.9,3.1,
46,Bolivia,Latin America and Caribbean,51,5.89,0.056420000000000005,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2.82334,94041000.0,313155000.0,0.0,216916000.0,310957000.0,0.0,2198000.0,0.0,2198000.0,143068000.0,643946000.0,486324000.0,629392000.0,14554000.0,0.0,14554000.0,15611000.0,127005000.0,0.0,57118000.0,72729000.0,54122000.0,154000.0,0.0,54276000.0,55.0,0.0,99.0,21.0,1.6,7.7,47.47,1.0,157.0,7.0,43.2,15.0,,,,42.0,,,,,,,,,,,,,1.8,0.0,591.0,91.0,7.0,57.9,50.0,15.0,1025.0,,18.8,,64.9,42.0,0.0,83.7,275.0,12.0,60.0,78.8889,96.6667,80.0,53.0769230769231,7504.0,9415.0,4823.0,38.4,34.7,41.9,19.6,75.6,96.7,90.0,520.0,160.0,0.643990641431459,50.3,27.5,60.8,206.0,,,,,,,27.3,30.6,33.8,
47,Moldova,Central and Eastern Europe,52,5.888999999999999,0.037989999999999996,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,9093000.0,60496000.0,0.0,44932000.0,54025000.0,0.0,84000.0,6387000.0,6471000.0,38650000.0,280970000.0,237010000.0,275660000.0,3686000.0,1624000.0,5310000.0,912000.0,12742000.0,0.0,11735000.0,12647000.0,0.0,65000.0,30000.0,95000.0,12.0,8.0,2.0,4.0,14.4441696408314,12.727502281305304,70.97,7.0,52.0,6.0,10.8,0.0,,,,113.0,,,,,,,,,,,,,2.8,8.0,585.0,5.5,5.0,4.3,4.0,4.0,186.0,,30.8,,0.2,21.0,9.2,40.2,276.0,27.0,100.0,95.55556666666668,96.6667,90.0,21.7821782178218,587.0,687.0,513.0,15.8,14.0,17.6,11.9,81.4,96.9,88.4,10.0,3200.0,0.0314954259234527,76.4,67.1,87.8,23.0,,,,,,,12.0,13.6,15.2,
48,Paraguay,Latin America and Caribbean,53,5.877999999999999,0.045630000000000004,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896,34510000.0,182216000.0,0.0,124464000.0,158974000.0,0.0,23242000.0,0.0,23242000.0,69463000.0,211504000.0,142041000.0,211504000.0,0.0,0.0,0.0,6112000.0,119049000.0,0.0,27310000.0,33422000.0,84122000.0,1505000.0,0.0,85627000.0,27.0,0.0,19.0,10.0,2.05767999049871,9.74129131535506,60.19,6.0,100.0,8.0,44.6,23.1,,,,67.0,,,,,,,,,,,,,3.9,2.0,591.0,46.0,6.0,39.9,35.0,7.0,378.0,,18.6,,6.8,20.0,9.6,35.0,120.0,12.0,50.0,72.2222333333333,86.6667,80.0,15.0,2366.0,2780.0,1471.0,20.5,18.3,22.5,10.9,94.9,100.0,98.0,190.0,270.0,0.368275060116238,88.6,78.4,95.5,132.0,,,,,,,15.6,17.5,19.2,
49,Kazakhstan,Central and Eastern Europe,54,5.855,0.041139999999999996,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2.24729,35092000.0,149150000.0,0.0,114058000.0,149150000.0,0.0,0.0,0.0,0.0,5293000.0,241771000.0,236478000.0,241771000.0,0.0,0.0,0.0,9987000.0,546515000.0,53000000.0,28651000.0,38638000.0,454198000.0,0.0,679000.0,454877000.0,26.0,14.0,16.0,15.0,12.372203296641901,14.084635222982302,72.68,9.0,41.0,7.0,81.4,0.0,,,,83.0,,,,,,,,,,,,,1.5,4.0,370.0,4.5,3.0,0.1,5.0,4.0,188.0,,11.2,,1.8,7.0,16.2,29.2,154.0,24.0,90.0,90.0,90.0,90.0,26.1682242990654,4935.0,5528.0,2744.0,14.1,12.0,16.1,7.0,85.6,99.4,92.9,45.0,3000.0,0.0336977912675616,97.5,98.1,97.0,12.0,,,,,,,10.7,12.6,14.5,
50,Slovenia,Central and Eastern Europe,55,5.848,0.04251,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.6158299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,33.0,11.0,5.0,11.512233273153901,,75.62,5.0,29.0,4.0,100.0,3.1,,,,38.0,,,,,,,,,,,,,0.8,3.0,1160.0,49.5,5.0,0.0,6.0,2.0,245.0,,18.2,,0.1,10.0,12.7,31.0,224.5,12.0,,,,,36.6666666666667,46.0,57.0,31.0,2.6,2.3,2.8,1.4,99.4,99.7,99.5,2.0,7000.0,0.0142959166333991,99.1,99.1,99.1,9.0,,,,,,,2.0,2.1,2.3,
51,Lithuania,Central and Eastern Europe,56,5.832999999999999,0.03843,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2.4464900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,2.0,2.0,6.73242139436033,12.5833710037852,78.88,7.0,20.0,8.0,79.3,33.9,,,,95.0,,,,,,,,,,,,,2.3,6.0,300.0,2.5,3.0,0.6,3.5,2.0,171.0,,35.2,,1.5,11.0,5.9,42.6,103.0,12.0,,,,,23.4042553191489,107.0,164.0,81.0,5.2,4.7,5.6,2.5,90.4,99.7,96.6,3.0,6300.0,0.0158638989890202,92.4,82.8,97.2,10.0,,,,,,,3.0,3.3,3.5,
52,Nicaragua,Latin America and Caribbean,57,5.827999999999999,0.05371,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407,26788465.2,115478205.5,0.0,87548770.9,114337236.1,0.0,8000.0,1132969.4,1140969.4,26010626.2,318702368.5,292691742.3,318702368.5,0.0,0.0,0.0,7457220.9,59148867.4,0.0,51672812.0,59130032.9,0.0,0.0,18834.5,18834.5,15.0,38.0,44.0,7.0,,,55.78,1.0,125.0,8.0,48.7,16.3,,,,55.0,,,,,,,,,,,,,2.2,1.0,519.0,58.0,9.0,72.2,13.0,6.0,207.0,,21.4,,20.6,43.0,21.9,63.9,207.0,16.0,60.0,70.0,80.0,70.0,41.304347826086996,2251.0,2662.0,1170.0,22.1,19.5,24.5,9.8,69.4,99.3,87.0,180.0,270.0,0.370522098758063,67.9,55.7,76.5,150.0,,,,,,,16.6,18.8,20.9,
53,Peru,Latin America and Caribbean,58,5.824,0.04615,0.9001899999999999,0.97459,0.73017,0.41496000000000005,0.05989,0.14982,2.5945,190806000.0,898597000.0,0.0,424532000.0,615338000.0,271249000.0,12010000.0,0.0,283259000.0,115844000.0,735366000.0,119522000.0,235366000.0,0.0,0.0,500000000.0,32048000.0,947100000.0,231186000.0,59712000.0,91760000.0,622074000.0,2080000.0,0.0,624154000.0,120.0,22.0,318.0,55.0,4.077403806042431,10.1411777686055,71.33,9.0,50.0,8.0,100.0,35.2,,,,67.0,,,,,,,,,,,,,3.1,8.0,426.0,6.5,4.0,9.8,26.0,6.0,260.0,,11.0,,2.2,9.0,22.7,35.9,174.0,14.0,100.0,93.3333333333333,100.0,80.0,22.3076923076923,8164.0,10483.0,5104.0,16.9,15.2,18.4,8.2,69.2,91.4,86.7,420.0,570.0,0.174471819702448,76.2,53.2,82.5,68.0,,,,,,,11.8,13.1,14.4,
54,Belarus,Central and Eastern Europe,59,5.813,0.03938,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11045999999999999,2.1309,608713000.0,2872513000.0,0.0,463633000.0,1072346000.0,1000000000.0,794481000.0,5686000.0,1800167000.0,2555073000.0,3811979000.0,241122000.0,2796195000.0,951262000.0,24324000.0,975586000.0,229336000.0,573300000.0,629000.0,123056000.0,352392000.0,115348000.0,104861000.0,70000.0,220279000.0,9.0,2.0,1.0,3.0,5.08974752462436,12.1809323559105,72.33,7.0,44.0,6.0,0.0,66.9,,,,112.0,,,,,,,,,,,,,3.0,2.0,275.0,3.0,2.0,0.9,3.0,3.0,176.0,,39.0,,1.1,7.0,11.7,51.8,115.0,16.0,90.0,87.7777666666667,93.3333,80.0,27.2727272727273,428.0,567.0,239.0,4.6,3.9,5.1,1.9,99.1,99.9,99.7,5.0,13800.0,0.007220806155099679,94.3,95.2,94.1,4.0,,,,,,,2.9,3.4,3.8,
55,Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,13.0,4.0,4.68408395833056,9.35617047968932,76.45,7.0,25.0,8.0,91.0,0.0,,,,133.0,,,,,,,,,,,,,3.0,7.0,685.0,33.0,6.0,12.2,30.0,4.0,271.0,,24.8,,1.0,7.0,14.5,40.3,156.0,16.0,90.0,85.55556666666669,86.6667,80.0,24.1304347826087,1629.0,1917.0,1122.0,5.2,4.7,5.6,3.1,96.9,99.3,98.3,12.0,22100.0,0.004522391599816111,97.2,96.7,97.5,3.0,,,,,,,4.1,4.5,4.8,
56,Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,0.7239399999999999,0.5302399999999999,0.10500999999999999,0.33075,1.8854099999999998,220300000.0,6475873000.0,45000000.0,30656000.0,250956000.0,5913719000.0,266170000.0,28000.0,6179917000.0,5000.0,73000.0,68000.0,73000.0,0.0,0.0,0.0,57324000.0,1072400000.0,96395000.0,2927000.0,60251000.0,883005000.0,32747000.0,2000.0,915754000.0,50.0,75.0,721.0,70.0,1.62162646,9.99976325,79.13,10.0,18.0,7.0,77.1,57.0,,,,32.0,,,,,,,,,,,,,1.0,7.0,425.0,13.0,8.0,6.7,4.0,3.0,118.0,,16.4,,0.9,13.0,22.7,40.0,79.0,15.0,70.0,74.44443333333331,73.3333,80.0,10.360360360360401,3308.0,3793.0,2149.0,7.0,6.3,7.7,3.9,93.0,100.0,98.2,200.0,1200.0,0.0815062696640714,96.0,95.9,96.1,40.0,,,,,,,5.3,6.0,6.6,
57,Croatia,Central and Eastern Europe,62,5.7589999999999995,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.054439999999999995,2.75414,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,63.0,9.0,8.0,17.057796788722598,13.8,72.71,3.0,40.0,6.0,100.0,0.0,,,,70.0,,,,,,,,,,,,,3.1,5.0,572.0,62.0,5.0,3.3,12.0,7.0,206.0,,18.8,,1.2,19.0,0.0,20.0,128.0,19.0,90.0,80.0000333333333,70.0001,80.0,25.8278145695364,135.0,165.0,98.0,4.3,3.9,4.7,2.6,99.7,99.6,99.6,3.0,7900.0,0.0127185363362245,97.0,95.8,97.8,8.0,,,,,,,3.3,3.6,3.9,
58,Libya,Middle East and Northern Africa,63,5.754,0.07832,1.13145,1.1186200000000002,0.7038,0.41668,0.11023,0.18295,2.0906599999999997,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,32.0,3.0,11.0,,,31.77,1.0,188.0,0.0,0.0,0.5,,,,118.0,,,,,,,,,,,,,,0.0,690.0,,,26.9,35.0,10.0,889.0,,10.5,,0.3,19.0,22.0,32.8,,,10.0,22.2222,36.6666,20.0,15.9574468085106,1418.0,1684.0,894.0,13.4,12.0,14.7,7.2,,,,12.0,4200.0,0.0240762905181788,96.6,95.7,96.8,9.0,,,,,,,10.2,11.4,12.7,
59,Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.1510200000000002,0.6874100000000001,0.50442,0.02299,0.2123,2.32038,79824000.0,719825000.0,0.0,129263000.0,209087000.0,433534000.0,74172000.0,3032000.0,510738000.0,83134000.0,165860000.0,61654000.0,144788000.0,20439000.0,633000.0,21072000.0,19434000.0,405000000.0,0.0,33324000.0,52758000.0,341137000.0,10328000.0,777000.0,352242000.0,10.0,30.0,214.0,6.0,,,67.27,4.0,64.0,7.0,22.4,0.0,,,,95.0,,,,,,,,,,,,,1.1,10.0,655.0,18.0,8.0,5.0,3.0,2.0,358.0,,13.4,,7.0,37.0,14.8,35.2,129.5,17.0,80.0,77.7778,73.3334,80.0,12.6984126984127,539.0,631.0,464.0,15.7,13.7,17.6,11.6,89.4,97.5,93.8,43.0,520.0,0.193707566750657,81.8,84.1,79.9,89.0,,,,,,,11.8,13.5,15.2,
